gesture,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,x51,y51,z51,x52,y52,z52,x53,y53,z53,x54,y54,z54,x55,y55,z55,x56,y56,z56,x57,y57,z57,x58,y58,z58,x59,y59,z59,x60,y60,z60,x61,y61,z61,x62,y62,z62,x63,y63,z63,x64,y64,z64,x65,y65,z65,x66,y66,z66,x67,y67,z67,x68,y68,z68,x69,y69,z69,x70,y70,z70,x71,y71,z71,x72,y72,z72,x73,y73,z73,x74,y74,z74,x75,y75,z75,x76,y76,z76,x77,y77,z77,x78,y78,z78,x79,y79,z79,x80,y80,z80,x81,y81,z81,x82,y82,z82,x83,y83,z83,x84,y84,z84,x85,y85,z85,x86,y86,z86,x87,y87,z87,x88,y88,z88,x89,y89,z89,x90,y90,z90,x91,y91,z91,x92,y92,z92,x93,y93,z93,x94,y94,z94,x95,y95,z95,x96,y96,z96,x97,y97,z97,x98,y98,z98,x99,y99,z99,x100,y100,z100,x101,y101,z101,x102,y102,z102,x103,y103,z103,x104,y104,z104,x105,y105,z105,x106,y106,z106,x107,y107,z107,x108,y108,z108,x109,y109,z109,x110,y110,z110,x111,y111,z111,x112,y112,z112,x113,y113,z113,x114,y114,z114,x115,y115,z115,x116,y116,z116,x117,y117,z117,x118,y118,z118,x119,y119,z119,x120,y120,z120,x121,y121,z121,x122,y122,z122,x123,y123,z123,x124,y124,z124,x125,y125,z125,x126,y126,z126,x127,y127,z127,x128,y128,z128,x129,y129,z129,x130,y130,z130,x131,y131,z131,x132,y132,z132,x133,y133,z133,x134,y134,z134,x135,y135,z135,x136,y136,z136,x137,y137,z137,x138,y138,z138,x139,y139,z139,x140,y140,z140,x141,y141,z141,x142,y142,z142,x143,y143,z143,x144,y144,z144,x145,y145,z145,x146,y146,z146,x147,y147,z147,x148,y148,z148,x149,y149,z149,x150,y150,z150,x151,y151,z151,x152,y152,z152,x153,y153,z153,x154,y154,z154,x155,y155,z155,x156,y156,z156,x157,y157,z157,x158,y158,z158,x159,y159,z159,x160,y160,z160,x161,y161,z161,x162,y162,z162,x163,y163,z163,x164,y164,z164,x165,y165,z165,x166,y166,z166,x167,y167,z167,x168,y168,z168,x169,y169,z169,x170,y170,z170,x171,y171,z171,x172,y172,z172,x173,y173,z173,x174,y174,z174,x175,y175,z175,x176,y176,z176,x177,y177,z177,x178,y178,z178,x179,y179,z179,x180,y180,z180,x181,y181,z181,x182,y182,z182,x183,y183,z183,x184,y184,z184,x185,y185,z185,x186,y186,z186,x187,y187,z187,x188,y188,z188,x189,y189,z189,x190,y190,z190,x191,y191,z191,x192,y192,z192,x193,y193,z193,x194,y194,z194,x195,y195,z195,x196,y196,z196,x197,y197,z197,x198,y198,z198,x199,y199,z199
circle,-121,-81,-177,-120,-80,-177,-121,-79,-178,-120,-79,-178,-120,-79,-178,-121,-80,-178,-120,-81,-178,-122,-81,-179,-121,-80,-179,-120,-79,-179,-120,-80,-180,-120,-79,-178,-121,-81,-178,-120,-80,-178,-121,-80,-177,-120,-80,-178,-121,-79,-177,-120,-80,-178,-119,-79,-175,-121,-82,-181,-121,-81,-177,-121,-80,-177,-122,-80,-177,-121,-79,-179,-121,-78,-177,-120,-80,-179,-119,-79,-180,-120,-80,-178,-120,-81,-178,-122,-80,-178,-121,-80,-178,-121,-81,-179,-119,-80,-177,-118,-80,-178,-121,-80,-179,-120,-80,-178,-120,-80,-179,-121,-79,-178,-121,-79,-177,-121,-81,-180,-120,-80,-179,-120,-81,-178,-121,-80,-178,-121,-80,-180,-121,-80,-179,-120,-81,-177,-120,-79,-179,-121,-80,-177,-120,-80,-177,-121,-79,-177,-120,-80,-177,-121,-79,-178,-120,-79,-177,-121,-80,-180,-121,-80,-178,-120,-80,-179,-121,-79,-178,-120,-79,-178,-120,-81,-178,-120,-80,-177,-120,-80,-178,-120,-81,-177,-121,-79,-176,-120,-80,-178,-121,-80,-178,-120,-79,-177,-121,-81,-178
circle,-238,-12,50,-238,-12,51,-239,-8,49,-240,-8,48,-240,-8,51,-238,-9,48,-236,-9,48,-237,-10,45,-238,-12,45,-234,-10,46,-232,-13,43,-232,-12,42,-233,-10,42,-235,-12,44,-234,-8,45,-232,-10,47,-239,-8,50,-240,-6,49,-240,-8,51,-240,-11,51,-237,-10,54,-235,-12,52,-235,-12,55,-235,-13,53,-234,-13,51,-240,-8,52,-241,-2,53,-242,-1,53,-240,-2,53,-237,-3,52,-231,-5,47,-232,-7,46,-235,-6,46,-237,-4,46,-239,-3,45,-237,-6,43,-237,-6,43,-236,-3,42,-234,-4,45,-237,-9,44,-236,-11,44,-239,-15,43,-233,-16,42,-235,-12,41,-237,-5,45,-241,-4,44,-240,-6,44,-241,-7,42,-244,-10,43,-245,-13,44,-242,-15,43,-240,-14,41,-240,-13,41,-241,-12,42,-246,-10,47,-247,-12,46,-239,-13,43,-236,-9,43,-239,-8,46,-239,-9,47,-237,-7,48,-230,-4,47,-229,-2,47,-230,-6,45,-233,-4,48,-236,-2,51,-238,-5,50
circle,-238,-3,37,-239,-1,37,-242,-1,38,-244,-1,36,-243,-5,36,-241,-2,34,-240,-4,33,-237,-6,33,-237,-3,34,-237,-1,35,-241,-1,38,-242,-5,36,-240,-5,34,-234,-2,29,-233,0,30,-237,0,35,-243,-1,39,-244,-2,40,-242,-2,36,-238,-9,33,-240,-4,35,-242,-3,36,-243,-2,40,-240,1,39,-236,1,39,-237,1,41,-244,-5,44,-243,-5,41,-237,-3,37,-235,0,38,-235,1,38,-242,1,43,-239,-3,40,-236,-4,39,-233,-6,38,-231,-3,35,-233,-2,35,-237,0,36,-240,-1,38,-236,-1,36,-233,-2,33,-236,-7,37,-235,-5,36,-235,-6,37,-232,-6,35,-231,-5,36,-235,-4,37,-242,-6,39,-247,-6,40,-248,-3,43,-244,-2,40,-234,-1,32,-234,-1,32,-240,-2,35,-242,-4,34,-242,-7,34,-240,-1,34,-242,-1,31,-246,-3,31,-248,-1,37,-247,-2,34,-246,-1,36,-238,-1,34,-235,-1,31,-238,-6,34,-236,-9,32,-234,-7,32
circle,-124,-105,-163,-126,-105,-163,-124,-104,-162,-126,-105,-165,-126,-105,-164,-125,-105,-163,-124,-104,-161,-126,-106,-163,-126,-105,-164,-125,-104,-165,-125,-104,-163,-126,-104,-163,-125,-104,-162,-126,-105,-163,-126,-105,-164,-125,-104,-164,-125,-104,-164,-125,-105,-164,-126,-105,-162,-126,-105,-163,-126,-106,-163,-125,-105,-164,-126,-104,-164,-125,-105,-165,-125,-105,-164,-126,-104,-163,-125,-105,-162,-124,-104,-163,-125,-104,-162,-125,-105,-163,-124,-105,-162,-126,-104,-163,-125,-105,-163,-125,-104,-162,-125,-104,-162,-126,-105,-162,-125,-105,-163,-125,-105,-161,-126,-105,-162,-127,-105,-163,-125,-104,-164,-124,-105,-163,-126,-105,-163,-124,-105,-163,-126,-105,-164,-126,-104,-162,-126,-105,-163,-125,-105,-164,-125,-105,-163,-124,-105,-163,-126,-105,-162,-126,-106,-163,-125,-105,-163,-125,-104,-162,-125,-105,-163,-125,-105,-163,-125,-106,-163,-124,-105,-164,-126,-106,-164,-125,-104,-162,-125,-104,-164,-124,-103,-164,-122,-101,-168,-127,-107,-161,-126,-110,-157,-125,-103,-160,-127,-104,-166
circle,-230,-15,28,-241,-15,29,-244,-14,31,-246,-16,33,-236,-13,32,-234,-14,29,-239,-9,34,-244,-10,34,-238,-12,27,-234,-15,26,-231,-14,24,-234,-10,27,-235,-11,28,-235,-14,26,-239,-13,28,-242,-14,27,-240,-13,28,-238,-19,23,-236,-20,23,-235,-17,23,-239,-14,30,-239,-14,30,-237,-18,32,-236,-16,33,-238,-14,31,-241,-14,30,-244,-11,32,-246,-8,33,-240,-11,33,-236,-15,33,-235,-15,29,-235,-11,30,-241,-18,28,-243,-16,29,-243,-16,31,-241,-15,31,-227,-18,24,-225,-16,24,-228,-14,27,-233,-17,27,-243,-14,32,-239,-17,29,-236,-19,28,-235,-20,28,-237,-17,28,-240,-15,28,-242,-16,31,-242,-16,27,-243,-16,28,-244,-17,28,-244,-17,29,-240,-16,29,-240,-16,28,-245,-13,31,-246,-14,29,-246,-13,33,-241,-13,28,-239,-14,28,-235,-11,27,-228,-9,25,-228,-13,23,-231,-12,25,-235,-16,27,-235,-17,27,-230,-16,25,-227,-17,23,-228,-18,25
circle,-238,-23,24,-233,-22,22,-231,-21,22,-230,-19,20,-241,-13,24,-247,-16,29,-246,-22,17,-243,-24,17,-242,-30,17,-240,-25,17,-240,-27,17,-242,-24,20,-237,-23,21,-236,-23,17,-238,-21,19,-235,-21,20,-232,-26,20,-234,-19,32,-225,-23,10,-240,-18,21,-239,-18,21,-238,-21,20,-239,-22,31,-230,-27,19,-236,-28,19,-235,-24,23,-237,-22,25,-235,-17,26,-236,-16,26,-236,-19,26,-238,-21,26,-232,-25,22,-231,-22,21,-234,-20,20,-238,-20,20,-244,-19,21,-240,-21,19,-235,-22,17,-233,-22,17,-234,-25,14,-237,-25,15,-240,-24,16,-246,-26,17,-245,-27,21,-240,-26,22,-236,-23,21,-234,-23,19,-241,-22,22,-243,-19,24,-244,-20,25,-244,-20,26,-244,-19,25,-243,-20,24,-239,-20,19,-232,-20,19,-225,-19,25,-222,-17,14,-230,-19,23,-236,-22,22,-241,-17,27,-234,-27,18,-230,-28,16,-229,-27,17,-232,-21,20,-234,-21,22,-236,-23,22,-240,-24,22
circle,-239,-20,23,-242,-20,24,-243,-20,23,-243,-19,23,-242,-19,26,-243,-16,26,-245,-14,28,-251,-16,30,-251,-14,29,-245,-13,27,-244,-12,25,-234,-9,25,-231,-9,27,-228,-12,28,-228,-14,26,-232,-19,27,-237,-16,27,-240,-16,28,-240,-18,24,-236,-19,21,-232,-15,22,-235,-15,25,-235,-14,28,-235,-15,28,-234,-14,24,-236,-16,24,-238,-16,25,-239,-16,27,-233,-17,26,-229,-19,25,-231,-20,26,-234,-20,29,-244,-21,28,-245,-18,28,-241,-15,27,-241,-12,26,-243,-19,24,-240,-22,23,-241,-26,21,-239,-29,20,-242,-28,25,-241,-23,25,-236,-21,25,-233,-16,25,-236,-17,23,-238,-21,23,-236,-24,26,-232,-25,21,-230,-26,27,-234,-28,28,-237,-25,30,-244,-18,31,-240,-17,32,-240,-16,30,-238,-16,30,-236,-21,27,-232,-20,25,-239,-29,23,-235,-25,24,-238,-24,23,-239,-24,24,-241,-22,24,-238,-22,23,-235,-20,19,-235,-23,20,-238,-24,20,-241,-28,23
circle,-240,-5,46,-244,-3,48,-243,-4,48,-241,-6,46,-237,-8,44,-234,-10,40,-235,-12,41,-239,-11,42,-241,-11,45,-238,-11,42,-232,-11,39,-228,-12,36,-226,-11,36,-238,-10,42,-241,-10,43,-237,-11,43,-231,-14,40,-232,-18,36,-235,-17,36,-242,-17,37,-245,-14,40,-244,-10,43,-243,-9,43,-241,-10,45,-240,-11,46,-232,-13,42,-230,-15,40,-230,-15,40,-232,-14,41,-231,-9,46,-230,-6,48,-232,-3,50,-233,-5,48,-235,-7,49,-237,-8,48,-241,-11,47,-240,-11,46,-239,-9,48,-239,-6,47,-238,-5,46,-237,-9,43,-239,-14,42,-241,-17,42,-240,-15,42,-241,-10,43,-239,-10,43,-239,-11,44,-234,-13,42,-233,-12,42,-241,-13,44,-244,-15,47,-243,-12,46,-241,-11,47,-239,-11,41,-239,-12,42,-238,-12,41,-231,-12,43,-229,-13,42,-231,-12,44,-235,-10,47,-237,-14,45,-236,-12,43,-238,-9,43,-240,-10,44,-239,-8,45,-235,-12,41,-231,-12,38
circle,-249,-1,42,-249,0,40,-243,-1,37,-239,-1,33,-237,0,32,-247,-4,36,-250,-6,35,-253,-10,36,-251,-12,34,-244,-9,32,-232,-5,29,-233,-5,31,-237,-5,34,-239,-7,36,-239,-7,35,-237,-3,35,-239,-8,37,-239,-9,37,-238,-6,38,-232,-6,37,-231,-5,37,-231,-5,35,-231,-5,34,-234,-7,38,-234,-7,39,-234,-7,42,-232,-9,43,-230,-10,42,-228,-11,40,-237,-4,41,-241,-2,43,-242,-3,42,-241,-3,44,-237,-5,42,-235,-5,40,-238,-13,41,-238,-14,40,-234,-11,38,-234,-5,38,-243,-2,44,-243,-5,44,-237,-7,42,-230,-5,39,-225,-7,40,-227,-9,38,-236,-9,40,-249,-10,43,-247,-9,43,-241,-8,39,-236,-3,35,-232,-7,32,-235,-8,36,-245,-13,38,-245,-13,37,-241,-16,37,-235,-17,32,-235,-11,33,-238,-9,36,-241,-7,38,-241,-6,40,-244,-7,39,-242,-12,35,-242,-13,34,-240,-14,34,-238,-10,33,-236,-7,36,-236,-5,36
circle,-229,-2,64,-227,-9,62,-230,-9,62,-237,-9,64,-244,-5,66,-248,-4,66,-238,-3,62,-231,-3,61,-227,-7,59,-231,-10,59,-234,-13,60,-240,-15,63,-239,-16,61,-233,-14,60,-230,-9,61,-233,-7,63,-237,-8,65,-237,-10,64,-233,-11,61,-231,-7,61,-236,-5,60,-246,-8,65,-243,-11,66,-235,-17,64,-227,-20,62,-220,-18,61,-223,-9,62,-234,-3,66,-243,-1,71,-244,-2,74,-237,-2,71,-230,-4,69,-218,-11,61,-219,-10,65,-227,-5,66,-233,-3,68,-237,-1,70,-242,0,70,-239,-1,66,-236,-5,64,-233,-12,61,-231,-17,61,-232,-18,62,-238,-15,62,-238,-7,62,-238,-4,63,-235,-5,62,-230,-8,59,-228,-12,58,-228,-16,58,-230,-18,59,-235,-13,61,-242,-12,62,-243,-9,63,-239,-6,62,-237,-7,61,-235,-9,60,-236,-15,59,-236,-14,60,-236,-15,61,-237,-14,61,-239,-10,63,-236,-9,64,-236,-5,60,-234,-5,61,-235,-6,62,-235,-8,62
