gesture,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,x41,y41,z41,x42,y42,z42,x43,y43,z43,x44,y44,z44,x45,y45,z45,x46,y46,z46,x47,y47,z47,x48,y48,z48,x49,y49,z49,x50,y50,z50,x51,y51,z51,x52,y52,z52,x53,y53,z53,x54,y54,z54,x55,y55,z55,x56,y56,z56,x57,y57,z57,x58,y58,z58,x59,y59,z59,x60,y60,z60,x61,y61,z61,x62,y62,z62,x63,y63,z63,x64,y64,z64,x65,y65,z65,x66,y66,z66,x67,y67,z67,x68,y68,z68,x69,y69,z69,x70,y70,z70,x71,y71,z71,x72,y72,z72,x73,y73,z73,x74,y74,z74,x75,y75,z75,x76,y76,z76,x77,y77,z77,x78,y78,z78,x79,y79,z79,x80,y80,z80,x81,y81,z81,x82,y82,z82,x83,y83,z83,x84,y84,z84,x85,y85,z85,x86,y86,z86,x87,y87,z87,x88,y88,z88,x89,y89,z89,x90,y90,z90,x91,y91,z91,x92,y92,z92,x93,y93,z93,x94,y94,z94,x95,y95,z95,x96,y96,z96,x97,y97,z97,x98,y98,z98,x99,y99,z99,x100,y100,z100,x101,y101,z101,x102,y102,z102,x103,y103,z103,x104,y104,z104,x105,y105,z105,x106,y106,z106,x107,y107,z107,x108,y108,z108,x109,y109,z109,x110,y110,z110,x111,y111,z111,x112,y112,z112,x113,y113,z113,x114,y114,z114,x115,y115,z115,x116,y116,z116,x117,y117,z117,x118,y118,z118,x119,y119,z119,x120,y120,z120,x121,y121,z121,x122,y122,z122,x123,y123,z123,x124,y124,z124,x125,y125,z125,x126,y126,z126,x127,y127,z127,x128,y128,z128,x129,y129,z129,x130,y130,z130,x131,y131,z131,x132,y132,z132,x133,y133,z133,x134,y134,z134,x135,y135,z135,x136,y136,z136,x137,y137,z137,x138,y138,z138,x139,y139,z139,x140,y140,z140,x141,y141,z141,x142,y142,z142,x143,y143,z143,x144,y144,z144,x145,y145,z145,x146,y146,z146,x147,y147,z147,x148,y148,z148,x149,y149,z149,x150,y150,z150,x151,y151,z151,x152,y152,z152,x153,y153,z153,x154,y154,z154,x155,y155,z155,x156,y156,z156,x157,y157,z157,x158,y158,z158,x159,y159,z159,x160,y160,z160,x161,y161,z161,x162,y162,z162,x163,y163,z163,x164,y164,z164,x165,y165,z165,x166,y166,z166,x167,y167,z167,x168,y168,z168,x169,y169,z169,x170,y170,z170,x171,y171,z171,x172,y172,z172,x173,y173,z173,x174,y174,z174,x175,y175,z175,x176,y176,z176,x177,y177,z177,x178,y178,z178,x179,y179,z179,x180,y180,z180,x181,y181,z181,x182,y182,z182,x183,y183,z183,x184,y184,z184,x185,y185,z185,x186,y186,z186,x187,y187,z187,x188,y188,z188,x189,y189,z189,x190,y190,z190,x191,y191,z191,x192,y192,z192,x193,y193,z193,x194,y194,z194,x195,y195,z195,x196,y196,z196,x197,y197,z197,x198,y198,z198,x199,y199,z199
vertical swipe,-237,8,14,-234,8,15,-242,3,17,-244,2,16,-240,2,17,-238,2,17,-233,8,17,-229,9,17,-233,6,17,-235,6,20,-233,4,15,-231,4,16,-234,7,16,-244,2,18,-247,5,19,-243,5,17,-238,5,16,-234,5,15,-234,7,15,-239,7,14,-246,4,17,-256,2,21,-254,1,19,-247,1,17,-233,3,15,-224,5,13,-223,5,9,-246,1,17,-256,0,21,-254,-1,18,-250,1,17,-244,3,17,-238,4,15,-241,6,16,-241,7,17,-240,6,17,-236,4,16,-235,5,18,-235,5,19,-240,3,18,-239,4,16,-237,5,15,-239,3,16,-241,3,17,-243,6,18,-240,5,17,-233,3,15,-231,4,16,-234,7,16,-238,6,20,-243,8,22,-240,8,22,-235,7,16,-239,7,17,-241,7,18,-241,6,18,-235,6,16,-235,7,16,-238,5,18,-242,2,14,-241,3,15,-237,5,15,-236,7,15,-238,7,18,-238,5,15,-236,7,15,-237,8,15
vertical swipe,-241,0,35,-235,-1,32,-241,-2,35,-244,0,38,-247,0,38,-248,-1,36,-241,0,32,-232,2,29,-235,3,30,-242,5,33,-246,5,38,-245,6,36,-240,5,34,-234,4,32,-229,3,31,-230,1,31,-238,0,34,-243,2,37,-245,3,38,-244,1,37,-239,3,38,-238,2,36,-239,4,37,-239,5,37,-237,6,37,-237,6,36,-234,4,36,-234,1,36,-238,1,38,-241,2,39,-243,4,43,-241,5,42,-235,4,39,-231,7,37,-230,3,37,-233,2,37,-236,1,39,-240,1,41,-239,0,38,-237,0,39,-232,1,36,-228,1,36,-227,2,38,-230,2,38,-237,2,43,-243,1,43,-253,-2,44,-252,-1,41,-250,0,40,-243,2,37,-240,2,34,-240,3,35,-243,4,37,-244,3,36,-240,1,30,-236,0,29,-240,-1,29,-242,-1,30,-243,0,32,-236,1,31,-230,0,29,-225,1,29,-227,1,31,-232,1,32,-236,2,35,-239,5,38,-237,5,36
vertical swipe,-233,0,37,-237,0,37,-244,-1,40,-250,-1,43,-251,0,43,-249,1,42,-247,1,39,-246,1,38,-245,1,37,-242,1,38,-237,0,37,-234,-1,36,-228,0,34,-226,0,33,-228,0,34,-232,0,37,-234,-1,38,-235,-3,40,-237,-2,40,-233,-4,41,-233,-9,38,-237,-7,40,-240,-3,38,-246,0,43,-248,1,46,-247,1,47,-242,0,45,-233,-2,39,-238,1,42,-243,4,44,-247,7,45,-247,8,45,-243,7,39,-238,-1,37,-233,-2,35,-229,-1,35,-231,-1,38,-235,0,40,-234,1,43,-232,3,39,-229,0,39,-229,-2,39,-231,-4,39,-234,-4,40,-236,-4,40,-238,-2,40,-245,-1,45,-244,0,45,-240,1,46,-235,5,44,-232,6,43,-234,4,43,-248,0,42,-250,-4,40,-246,-5,35,-238,-4,36,-232,-1,33,-229,0,34,-239,2,36,-243,2,37,-243,2,36,-242,1,36,-241,1,35,-238,0,34,-239,0,35,-238,1,35,-235,1,36
vertical swipe,-239,22,41,-237,25,44,-234,23,43,-232,18,38,-232,16,35,-235,16,36,-243,16,38,-247,18,38,-245,17,36,-241,17,33,-239,14,32,-240,14,31,-240,14,32,-239,13,29,-241,15,30,-243,14,32,-247,13,32,-243,13,33,-235,13,34,-230,13,32,-234,12,33,-237,11,38,-249,13,40,-248,16,40,-245,20,40,-240,20,37,-237,20,40,-236,20,39,-234,20,41,-238,13,43,-243,12,44,-242,14,42,-239,19,43,-233,23,42,-232,25,41,-234,21,42,-235,17,42,-235,14,40,-233,13,36,-235,14,36,-238,14,38,-239,17,40,-236,19,38,-232,17,36,-230,14,35,-234,11,39,-240,9,42,-241,10,44,-239,16,44,-235,16,42,-228,18,39,-229,19,38,-236,20,40,-244,16,44,-246,15,39,-239,12,37,-233,12,34,-229,10,31,-231,11,32,-236,10,32,-241,14,36,-239,16,34,-235,16,34,-232,14,32,-230,13,31,-230,11,30,-238,13,32
vertical swipe,-227,20,17,-230,18,17,-244,13,24,-244,14,24,-241,13,18,-241,15,18,-242,16,16,-245,14,16,-243,12,14,-244,11,14,-247,8,14,-245,7,14,-242,8,14,-233,10,15,-231,11,14,-233,12,17,-236,13,19,-236,15,19,-241,17,24,-239,17,23,-235,19,24,-232,19,21,-236,14,21,-241,14,22,-241,15,23,-242,17,21,-244,17,20,-246,17,21,-245,16,16,-242,15,19,-238,13,19,-235,12,16,-229,11,16,-227,12,15,-234,13,16,-242,14,21,-243,16,21,-240,15,21,-234,16,18,-231,16,16,-235,12,18,-246,8,19,-246,12,20,-244,13,19,-239,13,19,-237,14,19,-234,13,19,-242,15,20,-249,13,23,-254,14,24,-254,14,22,-245,14,20,-236,13,15,-237,13,13,-239,12,16,-240,12,17,-239,12,15,-238,10,14,-237,12,16,-234,10,15,-237,9,16,-236,9,15,-237,13,17,-236,13,19,-235,16,18,-235,17,19,-238,13,19
vertical swipe,-243,4,12,-233,4,9,-224,10,10,-226,17,11,-243,14,15,-238,11,12,-235,9,8,-239,1,9,-240,2,8,-238,2,8,-242,-1,3,-244,-4,4,-244,0,4,-244,0,4,-238,2,4,-235,4,4,-234,4,5,-236,-1,8,-234,0,9,-237,0,8,-240,1,7,-242,1,7,-240,4,9,-235,5,5,-238,1,7,-234,0,8,-237,-3,6,-237,-5,5,-240,-4,6,-241,2,7,-242,3,9,-243,6,11,-241,9,12,-239,6,9,-238,5,7,-240,5,7,-242,4,4,-240,5,3,-238,4,3,-233,2,2,-231,1,2,-230,0,2,-236,-2,3,-238,-3,2,-242,0,1,-246,0,2,-246,0,4,-243,1,3,-240,4,3,-233,7,1,-240,10,9,-242,2,3,-243,7,2,-248,6,3,-244,6,4,-234,6,1,-234,4,2,-234,2,2,-237,4,2,-241,6,4,-245,5,4,-249,3,6,-241,6,3,-237,9,3,-235,9,3,-238,9,5,-243,8,8
vertical swipe,-234,13,9,-228,12,6,-227,13,6,-235,13,8,-245,14,13,-250,15,16,-238,13,9,-229,9,5,-226,7,3,-228,8,5,-235,7,8,-241,7,10,-242,11,13,-236,11,11,-228,13,10,-225,15,9,-226,17,9,-235,15,11,-243,14,13,-248,14,14,-243,14,13,-241,14,7,-239,14,8,-242,13,11,-244,13,11,-243,10,12,-235,11,10,-236,10,13,-236,16,12,-238,19,10,-245,22,13,-246,26,16,-237,19,14,-227,15,7,-220,10,5,-224,6,6,-231,7,8,-240,11,10,-240,17,8,-241,14,8,-242,11,8,-242,9,9,-243,6,11,-241,6,10,-244,11,13,-248,12,17,-247,16,17,-245,17,16,-245,16,17,-247,14,18,-242,15,16,-236,14,14,-237,11,13,-239,10,13,-239,11,14,-239,12,12,-240,12,11,-236,12,7,-237,11,7,-237,10,9,-239,12,10,-237,12,9,-234,10,7,-232,9,6,-233,12,8,-237,14,9,-243,13,13
vertical swipe,-245,11,4,-249,10,7,-245,11,5,-238,9,4,-231,7,1,-236,10,2,-244,12,3,-250,11,6,-250,12,5,-247,12,5,-243,11,5,-234,9,5,-232,9,6,-231,11,1,-236,14,2,-242,16,3,-247,18,5,-247,17,7,-236,9,7,-228,9,5,-224,8,4,-226,9,4,-233,11,6,-242,12,8,-251,12,11,-246,12,9,-232,14,3,-235,12,4,-232,12,3,-240,10,8,-251,9,12,-242,13,9,-234,17,4,-241,16,7,-242,17,8,-245,16,10,-243,16,10,-242,10,6,-237,11,4,-233,13,2,-234,13,0,-239,12,0,-243,13,5,-239,11,5,-232,12,5,-228,12,3,-230,11,4,-237,12,8,-239,12,9,-242,15,7,-241,14,7,-239,15,7,-238,15,8,-235,15,6,-233,16,7,-233,12,4,-237,11,6,-241,12,5,-241,11,8,-243,10,9,-242,10,8,-242,10,5,-239,10,5,-238,14,11,-239,15,7,-240,17,10,-237,13,10
vertical swipe,-239,4,11,-238,4,9,-240,4,8,-245,5,10,-247,5,11,-245,4,9,-241,4,8,-242,8,9,-243,9,10,-246,7,10,-246,7,10,-241,6,7,-236,7,4,-234,8,6,-232,8,7,-230,10,7,-230,6,8,-239,3,9,-239,1,10,-235,1,9,-235,3,5,-237,2,3,-241,2,7,-239,6,9,-236,4,12,-231,2,14,-225,2,12,-227,1,13,-236,4,15,-242,7,19,-246,16,21,-249,18,22,-238,18,14,-235,15,15,-242,11,17,-240,12,18,-240,14,16,-241,12,14,-242,10,13,-241,8,12,-240,5,9,-238,2,9,-237,2,10,-238,0,14,-238,1,12,-237,2,13,-236,3,11,-239,5,12,-245,9,17,-248,10,20,-245,10,18,-240,9,17,-239,7,14,-238,3,12,-239,4,13,-240,4,12,-240,5,13,-235,6,13,-231,8,13,-228,7,10,-230,7,11,-236,6,13,-247,5,18,-242,0,15,-235,0,10,-233,5,11,-235,6,13
vertical swipe,-240,5,13,-243,7,12,-242,7,11,-238,6,11,-235,5,10,-235,6,10,-237,5,10,-245,5,14,-244,8,14,-246,8,12,-244,5,11,-242,3,10,-240,3,11,-239,1,11,-242,2,14,-244,5,13,-242,6,11,-244,7,6,-247,7,6,-248,8,8,-234,7,7,-226,5,7,-224,0,8,-222,2,11,-228,2,14,-235,2,15,-234,7,12,-241,4,15,-237,9,16,-242,7,17,-240,4,18,-241,5,15,-246,4,19,-246,8,18,-245,9,18,-244,10,14,-243,7,14,-244,5,17,-244,3,19,-238,2,19,-231,3,18,-230,3,15,-234,5,15,-243,7,19,-248,7,21,-238,11,17,-229,10,14,-227,6,13,-228,3,14,-234,1,15,-240,0,21,-241,3,20,-239,7,18,-236,9,17,-237,9,16,-242,7,18,-243,9,16,-244,9,19,-243,10,20,-244,-1,16,-235,2,11,-223,11,10,-225,8,7,-234,8,13,-246,5,14,-244,6,15,-239,5,10
